p,propLabel,eff
http://www.wikidata.org/prop/direct/P106,occupation,3675
http://www.wikidata.org/prop/direct/P27,country of citizenship,2896
http://www.wikidata.org/prop/direct/P569,date of birth,2816
http://www.wikidata.org/prop/direct/P735,given name,2814
http://www.wikidata.org/prop/direct/P31,instance of,2806
http://www.wikidata.org/prop/direct/P21,sex or gender,2804
http://www.wikidata.org/prop/direct/P734,family name,2615
http://www.wikidata.org/prop/direct/P39,position held,2496
http://www.wikidata.org/prop/direct/P102,member of political party,2400
http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",2041
http://www.wikidata.org/prop/direct/P19,place of birth,1463
http://www.wikidata.org/prop/direct/P6231,BDELIS ID,1328
http://www.wikidata.org/prop/direct/P2671,Google Knowledge Graph ID,1316
http://www.wikidata.org/prop/direct/P18,image,1275
http://www.wikidata.org/prop/direct/P10632,OpenSanctions ID,1074
http://www.wikidata.org/prop/direct/P214,VIAF cluster ID,1038
http://www.wikidata.org/prop/direct/P1321,municipal affiliation of a Swiss national,983
http://www.wikidata.org/prop/direct/P937,work location,943
http://www.wikidata.org/prop/direct/P1307,Swiss parliament ID,943
http://www.wikidata.org/prop/direct/P227,GND ID,836
http://www.wikidata.org/prop/direct/P373,Commons category,800
http://www.wikidata.org/prop/direct/P551,residence,599
http://www.wikidata.org/prop/direct/P1559,name in native language,580
http://www.wikidata.org/prop/direct/P856,official website,500
http://www.wikidata.org/prop/direct/P646,Freebase ID,499
http://www.wikidata.org/prop/direct/P69,educated at,496
http://www.wikidata.org/prop/direct/P10832,WorldCat Entities ID,462
http://www.wikidata.org/prop/direct/P213,ISNI,428
http://www.wikidata.org/prop/direct/P269,IdRef ID,349
http://www.wikidata.org/prop/direct/P244,Library of Congress authority ID,313
http://www.wikidata.org/prop/direct/P1344,participant in,298
http://www.wikidata.org/prop/direct/P570,date of death,293
http://www.wikidata.org/prop/direct/P13049,DDB person (GND) ID,272
http://www.wikidata.org/prop/direct/P8474,lobbywatch.ch ID of a member of the Swiss parliament,271
http://www.wikidata.org/prop/direct/P701,Dodis ID,207
http://www.wikidata.org/prop/direct/P9964,Kalliope-Verbund (GND) ID,175
http://www.wikidata.org/prop/direct/P3065,RERO ID (legacy),155
http://www.wikidata.org/prop/direct/P166,award received,150
http://www.wikidata.org/prop/direct/P108,employer,148
http://www.wikidata.org/prop/direct/P103,native language,132
http://www.wikidata.org/prop/direct/P1006,Nationale Thesaurus voor Auteursnamen ID,130
http://www.wikidata.org/prop/direct/P3368,Prabook ID,116
http://www.wikidata.org/prop/direct/P20,place of death,115
http://www.wikidata.org/prop/direct/P902,HDS ID,112
http://www.wikidata.org/prop/direct/P6424,affiliation string,111
http://www.wikidata.org/prop/direct/P2002,X (Twitter) username,109
http://www.wikidata.org/prop/direct/P463,member of,108
http://www.wikidata.org/prop/direct/P1207,NUKAT ID,105
http://www.wikidata.org/prop/direct/P6640,JRC Names ID,102
http://www.wikidata.org/prop/direct/P7902,Deutsche Biographie (GND) ID,98
http://www.wikidata.org/prop/direct/P268,Bibliothèque nationale de France ID,95
http://www.wikidata.org/prop/direct/P1284,Munzinger person ID,84
http://www.wikidata.org/prop/direct/P1889,different from,78
http://www.wikidata.org/prop/direct/P8189,J9U ID,76
http://www.wikidata.org/prop/direct/P101,field of work,70
http://www.wikidata.org/prop/direct/P1331,PACE member ID,66
http://www.wikidata.org/prop/direct/P8687,social media followers,65
http://www.wikidata.org/prop/direct/P22,father,58
http://www.wikidata.org/prop/direct/P512,academic degree,53
http://www.wikidata.org/prop/direct/P26,spouse,49
http://www.wikidata.org/prop/direct/P3602,candidacy in election,47
http://www.wikidata.org/prop/direct/P3987,SHARE Catalogue author ID,46
http://www.wikidata.org/prop/direct/P10553,IxTheo authority ID,46
http://www.wikidata.org/prop/direct/P1276,Dictionnaire du Jura ID,44
http://www.wikidata.org/prop/direct/P9113,Patrinum ID,44
http://www.wikidata.org/prop/direct/P3373,sibling,43
http://www.wikidata.org/prop/direct/P1416,affiliation,42
http://www.wikidata.org/prop/direct/P8974,SAPA ID,41
http://www.wikidata.org/prop/direct/P10527,documentation files at,41
http://www.wikidata.org/prop/direct/P40,child,38
http://www.wikidata.org/prop/direct/P1971,number of children,38
http://www.wikidata.org/prop/direct/P9352,Portrait Archive ID,38
http://www.wikidata.org/prop/direct/P2163,FAST ID,37
http://www.wikidata.org/prop/direct/P6634,LinkedIn personal profile ID,36
http://www.wikidata.org/prop/direct/P9918,Kallías ID,34
http://www.wikidata.org/prop/direct/P11249,KBR person ID,34
http://www.wikidata.org/prop/direct/P12458,Parsifal cluster ID,34
http://www.wikidata.org/prop/direct/P691,NL CR AUT ID,32
http://www.wikidata.org/prop/direct/P345,IMDb ID,31
http://www.wikidata.org/prop/direct/P2003,Instagram username,31
http://www.wikidata.org/prop/direct/P5008,on focus list of Wikimedia project,31
http://www.wikidata.org/prop/direct/P2013,Facebook username,29
http://www.wikidata.org/prop/direct/P1038,relative,28
http://www.wikidata.org/prop/direct/P10677,Winterthur Glossar ID,27
http://www.wikidata.org/prop/direct/P140,religion or worldview,26
http://www.wikidata.org/prop/direct/P641,sport,26
http://www.wikidata.org/prop/direct/P5019,Brockhaus Enzyklopädie online ID,26
http://www.wikidata.org/prop/direct/P8445,Our Campaigns candidate ID,26
http://www.wikidata.org/prop/direct/P7293,National Library of Poland MMS ID,25
http://www.wikidata.org/prop/direct/P8750,Unione Romana Biblioteche Scientifiche ID,25
http://www.wikidata.org/prop/direct/P1015,NORAF ID,24
http://www.wikidata.org/prop/direct/P9029,Viceversa Letteratura author ID,24
http://www.wikidata.org/prop/direct/P1477,birth name,22
http://www.wikidata.org/prop/direct/P1291,Association Authors of Switzerland ID (former scheme),22
http://www.wikidata.org/prop/direct/P6104,maintained by WikiProject,21
http://www.wikidata.org/prop/direct/P410,military or police rank,20
http://www.wikidata.org/prop/direct/P9046,A*dS Encyclopedia ID,20
http://www.wikidata.org/prop/direct/P271,NACSIS-CAT author ID,19
http://www.wikidata.org/prop/direct/P509,cause of death,19
http://www.wikidata.org/prop/direct/P1343,described by source,19
http://www.wikidata.org/prop/direct/P1196,manner of death,19
http://www.wikidata.org/prop/direct/P11496,CiNii Research ID,19
http://www.wikidata.org/prop/direct/P119,place of burial,17
http://www.wikidata.org/prop/direct/P135,movement,17
http://www.wikidata.org/prop/direct/P396,SBN author ID,17
http://www.wikidata.org/prop/direct/P1280,CONOR.SI ID,17
http://www.wikidata.org/prop/direct/P2348,time period,15
http://www.wikidata.org/prop/direct/P3889,Swiss Federal Archives ID,15
http://www.wikidata.org/prop/direct/P8179,Canadiana Name Authority ID,15
http://www.wikidata.org/prop/direct/P910,topic's main category,14
http://www.wikidata.org/prop/direct/P25,mother,13
http://www.wikidata.org/prop/direct/P3762,openMLOL author ID,13
http://www.wikidata.org/prop/direct/P6770,Swiss National Sound Archives ID,13
http://www.wikidata.org/prop/direct/P7699,National Library of Lithuania ID,13
http://www.wikidata.org/prop/direct/P10608,FID performing arts ID,13
http://www.wikidata.org/prop/direct/P866,Perlentaucher ID,12
http://www.wikidata.org/prop/direct/P1368,National Library of Latvia ID,12
http://www.wikidata.org/prop/direct/P7763,copyright status as a creator,12
http://www.wikidata.org/prop/direct/P8286,Olympedia people ID,12
http://www.wikidata.org/prop/direct/P109,signature,11
http://www.wikidata.org/prop/direct/P935,Commons gallery,11
http://www.wikidata.org/prop/direct/P1741,GTAA ID,11
http://www.wikidata.org/prop/direct/P1375,NSK ID,10
http://www.wikidata.org/prop/direct/P2732,Persée author ID,10
http://www.wikidata.org/prop/direct/P3630,Babelio author ID,10
http://www.wikidata.org/prop/direct/P6275,copyright representative,10
http://www.wikidata.org/prop/direct/P434,MusicBrainz artist ID,9
http://www.wikidata.org/prop/direct/P13183,JudaicaLink person (GND) ID,9
http://www.wikidata.org/prop/direct/P973,described at URL,8
http://www.wikidata.org/prop/direct/P1695,NLP ID (old),8
http://www.wikidata.org/prop/direct/P2397,YouTube channel ID,8
http://www.wikidata.org/prop/direct/P3901,ADAGP artist ID,8
http://www.wikidata.org/prop/direct/P184,doctoral advisor,7
http://www.wikidata.org/prop/direct/P648,Open Library ID,7
http://www.wikidata.org/prop/direct/P5739,Pontificia Università della Santa Croce ID,7
http://www.wikidata.org/prop/direct/P8034,Vatican Library VcBA ID,7
http://www.wikidata.org/prop/direct/P10013,SNSF person ID,7
http://www.wikidata.org/prop/direct/P12607,droitne.ch author ID,7
http://www.wikidata.org/prop/direct/P53,family,6
http://www.wikidata.org/prop/direct/P451,unmarried partner,6
http://www.wikidata.org/prop/direct/P1442,image of grave,6
http://www.wikidata.org/prop/direct/P2600,Geni.com profile ID,6
http://www.wikidata.org/prop/direct/P4342,Store norske leksikon (Great Norwegian Encyclopedia) ID,6
http://www.wikidata.org/prop/direct/P4985,TMDB person ID,6
http://www.wikidata.org/prop/direct/P5034,National Library of Korea ID,6
http://www.wikidata.org/prop/direct/P5731,Angelicum ID,6
http://www.wikidata.org/prop/direct/P6394,ELNET ID,6
http://www.wikidata.org/prop/direct/P409,Libraries Australia ID,5
http://www.wikidata.org/prop/direct/P485,archives at,5
http://www.wikidata.org/prop/direct/P496,ORCID iD,5
http://www.wikidata.org/prop/direct/P737,influenced by,5
http://www.wikidata.org/prop/direct/P1017,Vatican Library ID (former scheme),5
http://www.wikidata.org/prop/direct/P1303,instrument,5
http://www.wikidata.org/prop/direct/P1581,official blog URL,5
http://www.wikidata.org/prop/direct/P1953,Discogs artist ID,5
http://www.wikidata.org/prop/direct/P2949,WikiTree person ID,5
http://www.wikidata.org/prop/direct/P4033,Mastodon address,5
http://www.wikidata.org/prop/direct/P6886,writing language,5
http://www.wikidata.org/prop/direct/P7305,Online PWN Encyclopedia ID,5
http://www.wikidata.org/prop/direct/P54,member of sports team,4
http://www.wikidata.org/prop/direct/P91,sexual orientation,4
http://www.wikidata.org/prop/direct/P906,SELIBR ID,4
http://www.wikidata.org/prop/direct/P950,National Library of Spain SpMaBN ID (BNE v1.0),4
http://www.wikidata.org/prop/direct/P1019,web feed URL,4
http://www.wikidata.org/prop/direct/P1050,has medical condition,4
http://www.wikidata.org/prop/direct/P1153,Scopus author ID,4
http://www.wikidata.org/prop/direct/P1185,Rodovid ID,4
http://www.wikidata.org/prop/direct/P1315,NLA Trove people ID,4
http://www.wikidata.org/prop/direct/P1417,Encyclopædia Britannica Online ID,4
http://www.wikidata.org/prop/direct/P1255,HelveticArchives ID,4
http://www.wikidata.org/prop/direct/P2605,ČSFD person ID,4
http://www.wikidata.org/prop/direct/P4619,National Library of Brazil ID,4
http://www.wikidata.org/prop/direct/P5587,Libris-URI,4
http://www.wikidata.org/prop/direct/P6379,has works in the collection,4
http://www.wikidata.org/prop/direct/P9037,BHCL UUID,4
http://www.wikidata.org/prop/direct/P9885,Bing entity ID,4
http://www.wikidata.org/prop/direct/P9984,CANTIC ID,4
http://www.wikidata.org/prop/direct/P10302,Film.ru person ID,4
http://www.wikidata.org/prop/direct/P10347,World Economic Forum ID,4
http://www.wikidata.org/prop/direct/P10387,Databazeknih.cz author ID,4
http://www.wikidata.org/prop/direct/P10780,Radio France person ID,4
http://www.wikidata.org/prop/direct/P11710,LIBRA Unine ID,4
http://www.wikidata.org/prop/direct/P11182,UOM ID,4
http://www.wikidata.org/prop/direct/P12098,Kinobox person ID,4
http://www.wikidata.org/prop/direct/P136,genre,3
http://www.wikidata.org/prop/direct/P349,NDL Authority ID,3
http://www.wikidata.org/prop/direct/P968,email address,3
http://www.wikidata.org/prop/direct/P1005,Portuguese National Library author ID,3
http://www.wikidata.org/prop/direct/P1142,political ideology,3
http://www.wikidata.org/prop/direct/P1186,MEP directory ID,3
http://www.wikidata.org/prop/direct/P1362,Theaterlexikon der Schweiz ID,3
http://www.wikidata.org/prop/direct/P1233,Internet Speculative Fiction Database author ID,3
http://www.wikidata.org/prop/direct/P1253,BCU Ecrivainsvd ID,3
http://www.wikidata.org/prop/direct/P1263,Notable Names Database ID,3
http://www.wikidata.org/prop/direct/P1273,CANTIC ID (former scheme),3
http://www.wikidata.org/prop/direct/P1296,Gran Enciclopèdia Catalana ID (former scheme),3
http://www.wikidata.org/prop/direct/P1871,CERL Thesaurus ID,3
http://www.wikidata.org/prop/direct/P1977,Les Archives du spectacle person ID,3
http://www.wikidata.org/prop/direct/P2038,ResearchGate profile ID,3
http://www.wikidata.org/prop/direct/P2607,BookBrainz author ID,3
http://www.wikidata.org/prop/direct/P2639,Filmportal ID,3
http://www.wikidata.org/prop/direct/P4012,Semantic Scholar author ID,3
http://www.wikidata.org/prop/direct/P4100,parliamentary group,3
http://www.wikidata.org/prop/direct/P4293,PM20 folder ID,3
http://www.wikidata.org/prop/direct/P4521,Radio Radicale person ID,3
http://www.wikidata.org/prop/direct/P4663,DACS ID (former),3
http://www.wikidata.org/prop/direct/P5355,abgeordnetenwatch.de politician ID,3
http://www.wikidata.org/prop/direct/P5617,Evene ID,3
http://www.wikidata.org/prop/direct/P6722,FemBio ID,3
http://www.wikidata.org/prop/direct/P6844,abART person ID,3
http://www.wikidata.org/prop/direct/P7400,LibraryThing author ID,3
http://www.wikidata.org/prop/direct/P7578,DUC ID,3
http://www.wikidata.org/prop/direct/P8313,Lex ID,3
http://www.wikidata.org/prop/direct/P9346,France 24 topic ID (French),3
http://www.wikidata.org/prop/direct/P10706,DACS ID (2022),3
http://www.wikidata.org/prop/direct/P11686,University of Barcelona authority ID,3
http://www.wikidata.org/prop/direct/P11825,LiteraturPort autorenlexikon ID,3
http://www.wikidata.org/prop/direct/P12385,Gran Enciclopèdia Catalana ID,3
http://www.wikidata.org/prop/direct/P94,coat of arms image,2
http://www.wikidata.org/prop/direct/P172,ethnic group,2
http://www.wikidata.org/prop/direct/P185,doctoral student,2
http://www.wikidata.org/prop/direct/P413,position played on team / speciality,2
http://www.wikidata.org/prop/direct/P549,Mathematics Genealogy Project ID,2
http://www.wikidata.org/prop/direct/P781,SIKART person ID,2
http://www.wikidata.org/prop/direct/P793,significant event,2
http://www.wikidata.org/prop/direct/P800,notable work,2
http://www.wikidata.org/prop/direct/P949,National Library of Israel ID (old),2
http://www.wikidata.org/prop/direct/P1045,Sycomore ID,2
http://www.wikidata.org/prop/direct/P1066,student of,2
http://www.wikidata.org/prop/direct/P1409,Cycling Archives cyclist ID,2
http://www.wikidata.org/prop/direct/P1556,zbMATH author ID,2
http://www.wikidata.org/prop/direct/P1258,Rotten Tomatoes ID,2
http://www.wikidata.org/prop/direct/P1285,Munzinger Sport number,2
http://www.wikidata.org/prop/direct/P1580,University of Barcelona authority ID (former scheme),2
http://www.wikidata.org/prop/direct/P1950,second family name in Spanish name,2
http://www.wikidata.org/prop/direct/P2031,work period (start),2
http://www.wikidata.org/prop/direct/P2048,height,2
http://www.wikidata.org/prop/direct/P2562,married name,2
http://www.wikidata.org/prop/direct/P2767,JudoInside judoka ID,2
http://www.wikidata.org/prop/direct/P2963,Goodreads author ID,2
http://www.wikidata.org/prop/direct/P3171,Olympic.org athlete ID (archived),2
http://www.wikidata.org/prop/direct/P3222,NE.se ID,2
http://www.wikidata.org/prop/direct/P3417,Quora topic ID,2
http://www.wikidata.org/prop/direct/P3846,DBC author ID,2
http://www.wikidata.org/prop/direct/P4124,Who's Who in France biography ID,2
http://www.wikidata.org/prop/direct/P4123,French National Assembly ID,2
http://www.wikidata.org/prop/direct/P4174,Wikimedia username,2
http://www.wikidata.org/prop/direct/P4862,Amazon author ID,2
http://www.wikidata.org/prop/direct/P5508,archINFORM person/group ID,2
http://www.wikidata.org/prop/direct/P5021,assessment,2
http://www.wikidata.org/prop/direct/P5815,Olympics.com athlete ID,2
http://www.wikidata.org/prop/direct/P5882,Muziekweb performer ID,2
http://www.wikidata.org/prop/direct/P6677,OpenEdition Books author ID,2
http://www.wikidata.org/prop/direct/P7029,National Library of Russia ID,2
http://www.wikidata.org/prop/direct/P7445,Basis Wien person ID,2
http://www.wikidata.org/prop/direct/P7502,Golden ID,2
http://www.wikidata.org/prop/direct/P7700,Slovak National Library (VIAF) ID,2
http://www.wikidata.org/prop/direct/P7982,Hrvatska enciklopedija ID,2
http://www.wikidata.org/prop/direct/P8349,Proleksis enciklopedija ID,2
http://www.wikidata.org/prop/direct/P8385,IDU person ID,2
http://www.wikidata.org/prop/direct/P8795,Diamond Catalog ID for persons and organisations,2
http://www.wikidata.org/prop/direct/P8849,CONOR.BG ID,2
http://www.wikidata.org/prop/direct/P8879,Kinorium person ID,2
http://www.wikidata.org/prop/direct/P9097,American Academy in Rome ID,2
http://www.wikidata.org/prop/direct/P9322,SVKKL authority ID,2
http://www.wikidata.org/prop/direct/P9371,FranceArchives agent ID,2
http://www.wikidata.org/prop/direct/P10069,Tabakalera ID,2
http://www.wikidata.org/prop/direct/P10297,Google Arts & Culture entity ID,2
http://www.wikidata.org/prop/direct/P10540,TASS Encyclopedia person ID,2
http://www.wikidata.org/prop/direct/P12086,WikiKids ID,2
http://www.wikidata.org/prop/direct/P13079,eHLFL ID,2
http://www.wikidata.org/prop/direct/P13586,Wetzipedia ID,2
http://www.wikidata.org/prop/direct/P10,video,1
http://www.wikidata.org/prop/direct/P97,noble title,1
http://www.wikidata.org/prop/direct/P245,Union List of Artist Names ID,1
http://www.wikidata.org/prop/direct/P241,military branch,1
http://www.wikidata.org/prop/direct/P361,part of,1
http://www.wikidata.org/prop/direct/P412,voice type,1
http://www.wikidata.org/prop/direct/P428,botanist author abbreviation,1
http://www.wikidata.org/prop/direct/P495,country of origin,1
http://www.wikidata.org/prop/direct/P528,catalog code,1
http://www.wikidata.org/prop/direct/P586,IPNI author ID,1
http://www.wikidata.org/prop/direct/P598,commander of (DEPRECATED),1
http://www.wikidata.org/prop/direct/P886,Lexicon istoric retic ID,1
http://www.wikidata.org/prop/direct/P898,IPA transcription,1
http://www.wikidata.org/prop/direct/P991,successful candidate,1
http://www.wikidata.org/prop/direct/P1037,director / manager,1
http://www.wikidata.org/prop/direct/P1149,Library of Congress Classification,1
http://www.wikidata.org/prop/direct/P1146,World Athletics athlete ID,1
http://www.wikidata.org/prop/direct/P1309,EGAXA ID,1
http://www.wikidata.org/prop/direct/P1317,floruit,1
http://www.wikidata.org/prop/direct/P1340,eye color,1
http://www.wikidata.org/prop/direct/P1399,convicted of,1
http://www.wikidata.org/prop/direct/P1411,nominated for,1
http://www.wikidata.org/prop/direct/P1447,Sports-Reference.com Olympic athlete ID (archived),1
http://www.wikidata.org/prop/direct/P1448,official name,1
http://www.wikidata.org/prop/direct/P1449,nickname,1
http://www.wikidata.org/prop/direct/P1229,Openpolis ID,1
http://www.wikidata.org/prop/direct/P1266,AlloCiné person ID,1
http://www.wikidata.org/prop/direct/P1288,Kritisches Lexikon der Gegenwartsliteratur ID,1
http://www.wikidata.org/prop/direct/P1299,depicted by,1
http://www.wikidata.org/prop/direct/P1617,BBC Things ID,1
http://www.wikidata.org/prop/direct/P1663,ProCyclingStats cyclist ID,1
http://www.wikidata.org/prop/direct/P1713,biography at the Bundestag of Germany URL,1
http://www.wikidata.org/prop/direct/P1728,AllMusic artist ID,1
http://www.wikidata.org/prop/direct/P1801,plaque image,1
http://www.wikidata.org/prop/direct/P1808,senat.fr ID,1
http://www.wikidata.org/prop/direct/P1819,genealogics.org person ID,1
http://www.wikidata.org/prop/direct/P1830,owner of,1
http://www.wikidata.org/prop/direct/P1884,hair color,1
http://www.wikidata.org/prop/direct/P1890,CCAB ID,1
http://www.wikidata.org/prop/direct/P1902,Spotify artist ID,1
http://www.wikidata.org/prop/direct/P1960,Google Scholar author ID,1
http://www.wikidata.org/prop/direct/P1988,Le Delarge artist ID,1
http://www.wikidata.org/prop/direct/P2067,mass,1
http://www.wikidata.org/prop/direct/P2182,Finnish Ministers database ID (archived),1
http://www.wikidata.org/prop/direct/P2181,Finnish MP ID,1
http://www.wikidata.org/prop/direct/P2280,Austrian Parliament ID,1
http://www.wikidata.org/prop/direct/P2354,has list,1
http://www.wikidata.org/prop/direct/P2369,Soccerway player ID,1
http://www.wikidata.org/prop/direct/P2423,International Fencing Federation fencer ID,1
http://www.wikidata.org/prop/direct/P2447,Transfermarkt manager ID,1
http://www.wikidata.org/prop/direct/P2450,Encyclopædia Britannica contributor ID,1
http://www.wikidata.org/prop/direct/P2604,Kinopoisk person ID,1
http://www.wikidata.org/prop/direct/P2722,Deezer artist ID,1
http://www.wikidata.org/prop/direct/P2734,Unz Review author ID,1
http://www.wikidata.org/prop/direct/P2772,FIS alpine skier ID,1
http://www.wikidata.org/prop/direct/P2847,Google+ ID,1
http://www.wikidata.org/prop/direct/P2850,Apple Music artist ID (U.S. version),1
http://www.wikidata.org/prop/direct/P2924,Great Russian Encyclopedia Online ID (old version),1
http://www.wikidata.org/prop/direct/P3047,playmakerstats.com player ID,1
http://www.wikidata.org/prop/direct/P3052,Bloomberg person ID,1
http://www.wikidata.org/prop/direct/P3219,Encyclopædia Universalis ID,1
http://www.wikidata.org/prop/direct/P3348,National Library of Greece ID,1
http://www.wikidata.org/prop/direct/P3365,Treccani ID,1
http://www.wikidata.org/prop/direct/P3388,LittleSis people ID,1
http://www.wikidata.org/prop/direct/P3409,Catalogus Professorum Lipsiensis ID,1
http://www.wikidata.org/prop/direct/P3430,SNAC ARK ID,1
http://www.wikidata.org/prop/direct/P3618,base salary,1
http://www.wikidata.org/prop/direct/P3619,Ski-DB skier ID,1
http://www.wikidata.org/prop/direct/P3684,Driver Database driver ID,1
http://www.wikidata.org/prop/direct/P3699,Transfermarkt referee ID,1
http://www.wikidata.org/prop/direct/P3847,Open Library subject ID,1
http://www.wikidata.org/prop/direct/P3919,contributed to creative work,1
http://www.wikidata.org/prop/direct/P3782,Artnet artist ID,1
http://www.wikidata.org/prop/direct/P3789,Telegram username,1
http://www.wikidata.org/prop/direct/P3980,Unifrance person ID,1
http://www.wikidata.org/prop/direct/P4267,Landtag of Liechtenstein ID,1
http://www.wikidata.org/prop/direct/P4369,Cairn author ID,1
http://www.wikidata.org/prop/direct/P4381,Soccerdonna player ID,1
http://www.wikidata.org/prop/direct/P4434,LesBiographies.com ID,1
http://www.wikidata.org/prop/direct/P4432,Artists of the World ID,1
http://www.wikidata.org/prop/direct/P4491,Isidore scholar ID,1
http://www.wikidata.org/prop/direct/P4514,Africultures person ID,1
http://www.wikidata.org/prop/direct/P4527,UK Parliament thesaurus ID,1
http://www.wikidata.org/prop/direct/P4542,World of O athlete ID,1
http://www.wikidata.org/prop/direct/P4602,date of burial or cremation,1
http://www.wikidata.org/prop/direct/P4666,CineMagia person ID,1
http://www.wikidata.org/prop/direct/P4703,HATVP person ID,1
http://www.wikidata.org/prop/direct/P4759,Luminous-Lint ID,1
http://www.wikidata.org/prop/direct/P4839,Wolfram Language entity code,1
http://www.wikidata.org/prop/direct/P4955,MR Author ID,1
http://www.wikidata.org/prop/direct/P5361,BNB person ID,1
http://www.wikidata.org/prop/direct/P5421,Trading Card Database person ID,1
http://www.wikidata.org/prop/direct/P5419,NYRB contributor ID,1
http://www.wikidata.org/prop/direct/P5442,Library of Congress of Chile person ID,1
http://www.wikidata.org/prop/direct/P5463,AE member ID,1
http://www.wikidata.org/prop/direct/P5570,NooSFere author ID,1
http://www.wikidata.org/prop/direct/P5645,Académie française award winner ID,1
http://www.wikidata.org/prop/direct/P5695,Bibliopoche author ID,1
http://www.wikidata.org/prop/direct/P5715,Academia.edu profile URL,1
http://www.wikidata.org/prop/direct/P6314,WorldFootball.net referee ID,1
http://www.wikidata.org/prop/direct/P6315,PlaymakerStats.com referee ID,1
http://www.wikidata.org/prop/direct/P6325,Critique d'art ID,1
http://www.wikidata.org/prop/direct/P6553,personal pronoun,1
http://www.wikidata.org/prop/direct/P6683,Alexander Turnbull Library ID,1
http://www.wikidata.org/prop/direct/P6746,Paměť národa ID,1
http://www.wikidata.org/prop/direct/P6828,Czech parliament ID,1
http://www.wikidata.org/prop/direct/P6868,Hoopla artist ID,1
